SkillName,SkillFamilies,PrimaryMechanic,MechanicTags,DamageType
Iron Cleaver,[F2],"Breiter Nahkampf-Schwung (Cone), skaliert primär mit Hit-Damage und kleinem AoE-Winkel.",[M01_DirectHit],Physical
Thunder Knuckle,"[F1,F2]","Starker Nahkampf-Hit mit kleinem radialen Splash, skaliert über Hit-Damage und Splash-Radius.",[M01_DirectHit],Lightning
Starbreaker Lance,[F6],"Geradliniger Speer-Hit, der bis zu 2 Ziele durchbohrt; skaliert über Basis-Schaden und Projektil-Geschwindigkeit.",[M01_DirectHit],Fire
Rift Chop,[F2],Line-Slam vor dem Hero mit schmaler Rechteck-Hitbox; skaliert über Hit-Damage und Line-Length.,[M01_DirectHit],Physical
Bone Shear,"[F1,F2]",Nahkampf-Hit mit zusätzlichem Bleed-DoT; skaliert über Hit-Damage und Bleed-Duration.,"[M01_DirectHit,M11_DebuffCurse]",Physical+Bleed
Spellburst Bolt,[F5],Schnelles Projektil mit kleiner Explosion beim ersten Treffer; skaliert über Projektil-Schaden und Splash-Radius.,[M01_DirectHit],Arcane
Ruin Knell,[F6],Instant-Single-Hit auf ein Ziel ohne Projektil; skaliert über Basis-Damage und Cast-Zeit.,[M01_DirectHit],Dark
Hammerfall Hook,[F2],Kleiner radialer Pull gefolgt von einem kräftigen Hit; skaliert über Hit-Damage und Pull-Radius.,[M01_DirectHit],Physical
Razor Edge,[F2],Single-Hit mit stark erhöhter Base-Crit-Chance; skaliert über CritChance/CritMulti und Basis-Damage.,"[M01_DirectHit,M02_Crit]",Physical
Heartsear Shot,[F5],Einzelprojektil mit hoher CritChance/Multi; skaliert über Crit-Werte und Projektil-Schaden.,"[M01_DirectHit,M02_Crit]",Physical
Storm Precision,[F5],Kleines Blitzprojektil mit extrem hoher CritChance; skaliert über Crit und Lightning-Damage.,"[M01_DirectHit,M02_Crit]",Lightning
Frostbite Fang,"[F1,F5]","Melee-Hit plus kleiner Eissplitter; skaliert über Hit-Damage, Crit und Projektil-Reichweite.","[M01_DirectHit,M02_Crit]",Cold
Stonewall Guard,[F4],Kurzzeit-Buff mit +Armor und kleinem Knockback; skaliert über Armor-Wert und Buff-Dauer.,[M04_DefenseLayer],Physical
Prism Shell,[F4],"Nova, die Barrier in fester Höhe erzeugt; skaliert über Barrier-Menge und Nova-Radius.",[M04_DefenseLayer],Arcane
Glacial Bulwark,"[F7,F4]",Halbkreis-Hazard mit Cold-DoT und Slow; skaliert über Hazard-Dauer und Flächenlänge.,"[M04_DefenseLayer,M08_GroundHazard,M11_DebuffCurse]",Cold
Ember Fortify,"[F11,F4]","Self-Buff: +Armor, +LifeRegen, dafür mehr FireDamageTaken; skaliert über Buff-Werte und Dauer.","[M04_DefenseLayer,M06_Sustain]",Fire
Ghoststep Veil,[F11],Kurzzeit-Buff mit massiv erhöhtem Dodge; skaliert über Dodge% und Buff-Dauer.,[M05_Dodge],Buff
Moon Dancer,[F3],Seitlicher Micro-Dash mit anschließendem Dodge/MoveSpeed-Buff; skaliert über Dash-Range und Buff-Werte.,"[M05_Dodge,M07_Movement]",Movement
Phase Mirage,[F9],"Orbitierende Illusionen, die einen Teil eingehender Hits umlenken; skaliert über Redirect-Prozent und Dauer.",[M05_Dodge],Utility
Blood Circuit,"[F1,F9]","Orbitierende Blutsphären mit Hit+Leech; skaliert über Tick-Damage, Orb-Anzahl und Leech-Wert.","[M06_Sustain,M12_SpinNova]",Physical
Amber Pulse,[F11],Aura mit kleinem Life- und BarrierRegen; skaliert über Regenerationswerte und Aura-Radius.,"[M06_Sustain,M10_AuraShout]",Holy/Neutral
Vile Transfusion,[F7],"Gift-Hazard, die Schaden verursacht und Recoup auf den Caster gibt; skaliert über DoT-DPS und Recoup-Prozent.","[M06_Sustain,M08_GroundHazard]",Dark+Poison
Soul Draft,[F4],Kleine Dark-Nova mit LifeOnHit pro getroffenen Gegner; skaliert über Nova-Radius und Heal-per-Hit.,"[M06_Sustain,M12_SpinNova]",Dark
Blink Surge,[F3],Kurz-Teleport mit Mini-Nova am Ziel; skaliert über Teleport-Reichweite und Nova-Damage.,"[M07_Movement,M12_SpinNova]",Arcane
Ember Trail,"[F3,F7]","Dash nach vorne, hinterlässt schmale Feuer-Spur; skaliert über Dash-Länge und DoT-DPS.","[M07_Movement,M08_GroundHazard]",Fire
Gale Stride,[F3],"Dash ohne Schaden, reduziert Cooldowns anderer Movement-Skills; skaliert über Dash-Range und CDR-Wert.",[M07_Movement],Movement
Caustic Field,[F7],"Kreisförmiger Gift-DoT-Bereich; skaliert über DoT-DPS, Radius und Dauer.","[M08_GroundHazard,M11_DebuffCurse]",Poison
Ember Scar,[F7],"Rechteckiger Fire-Riss am Boden; skaliert über Länge, Breite und DoT-DPS.",[M08_GroundHazard],Fire
Chill Bloom,"[F7,F4]","Kälte-Hazard mit Slow, die am Ende in einer Nova explodiert; skaliert über Slow-Stärke, Hazard-Dauer und Nova-Damage.","[M08_GroundHazard,M12_SpinNova,M11_DebuffCurse]",Cold
Static Lattice,[F7],"Raster aus kleinen Elektro-Patches, die asynchron zappen; skaliert über Patch-Anzahl, Radius und Tick-Damage.",[M08_GroundHazard],Lightning
Hexed Ground,"[F7,F11]",Fluch-Hazard: Gegner darin nehmen mehr Schaden und machen weniger Schaden; skaliert über Debuff-Werte und Flächengröße.,"[M08_GroundHazard,M11_DebuffCurse]",Dark
Sanctified Soil,"[F7,F11]","Heilige Zone: Allies bekommen LifeRegen+ und DoT-Resist; skaliert über Regeneration, Resist-Boost und Radius.","[M08_GroundHazard,M06_Sustain,M04_DefenseLayer]",Holy
Toxic Funnel,"[F7,F2]","Kegel-förmige Gift-Hazard vor dem Caster; skaliert über Kegelweite, Reichweite und DoT-DPS.",[M08_GroundHazard],Poison
Bone Vanguard,[F10],"Tankiger Nahkampf-Skelett-Minon; skaliert über Minion-Life, Armor und Basis-DPS.","[M09_Summon,M04_DefenseLayer]",Physical
Flame Idol,[F10],"Stationäres Feuer-Totem, das Firebolts schießt; skaliert über Minion-Damage, AttackSpeed und Projektil-Reichweite.","[M09_Summon,M01_DirectHit]",Fire
Wraith Pack,[F10],"Mehrere fragile Geister mit hohem Schaden, kurzer Dauer; skaliert über Minion-Damage und Lifetime.","[M09_Summon,M01_DirectHit]",Dark
Swarm Nest,"[F10,F7]","Stationäres Nest, das periodisch Gift-Insekten spawnt; skaliert über Spawn-Rate und Insekten-DoT.","[M09_Summon,M08_GroundHazard]",Poison
Arc Beacon,[F10],"Turret-Minon, der Kettenblitze verschießt; skaliert über Minion-Damage, Chain-Count und Range.","[M09_Summon,M01_DirectHit]",Lightning
Solar Guardian,"[F10,F11]",Heiliger Schutzgeist mit Barrier-Aura und gelegentlichen Holy-Novas; skaliert über Aura-Stärke und Nova-Damage.,"[M09_Summon,M10_AuraShout,M04_DefenseLayer,M06_Sustain]",Holy
Crystal Shambler,"[F10,F6]","Langsamer Golem mit Hard-Slam und Frost-Explosion beim Tod; skaliert über Minion-Life, Slam-Damage und Nova-Radius.","[M09_Summon,M01_DirectHit,M12_SpinNova]",Physical+Cold
Battle Anthem,[F11],Offensive Aura: +Damage und +AttackSpeed für Allies; skaliert über Buff-Werte und Radius.,"[M10_AuraShout,M01_DirectHit]",Buff
Ward of Glass,[F11],Defensive Aura: +BarrierRegen und +Resists; skaliert über Regenerations-Wert und Resist-Bonus.,"[M10_AuraShout,M04_DefenseLayer,M06_Sustain]",Buff
Slipstream Chant,[F11],Speed-Aura: +MoveSpeed und +Dodge; skaliert über Buff-Stärke und Radius.,"[M10_AuraShout,M05_Dodge]",Buff
Iron Vow,[F11],Aura: %DamageTakenRecoupedAsLife; skaliert über Recoup-Prozent und Radius.,"[M10_AuraShout,M06_Sustain]",Buff
Rallying Roar,[F11],Shout mit kurzem Burst von +Damage und +Armor; skaliert über Buff-Werte und Dauer.,"[M10_AuraShout,M01_DirectHit,M04_DefenseLayer]",Buff
Hexguard Chorus,"[F11,F12]","Aura, die EnemyDamageDealt- im Radius reduziert; skaliert über Debuff-Wert und Radius.","[M10_AuraShout,M11_DebuffCurse]",Dark
Mark of Ruin,[F13],Einzelziel-Marke: Ziel nimmt more Damage von allen Quellen; skaliert über DamageTaken+ und Mark-Dauer.,[M11_DebuffCurse],Dark
Shivering Brand,"[F12,F7]",Flächen-Fluch mit MoveSpeed- und AttackSpeed-; skaliert über Debuff-Stärken und Flächenradius.,[M11_DebuffCurse],Cold
Ashen Chains,[F12],"Feuer-Fluch: Gegner machen weniger Schaden, Brenn-Effekte dauern länger; skaliert über DamageDealt- und DoT-Duration.",[M11_DebuffCurse],Fire
Conductive Seal,[F12],Lightning-Fluch: reduziert Lightning-Resists und erhöht LightningDamageTaken; skaliert über Resist-Reduktion und DamageTaken+.,[M11_DebuffCurse],Lightning
Withering Verdict,[F12],DoT-Fluch: kleiner Dark/Poison-DoT + mehr Schaden von DoTs; skaliert über DoT-DPS und DamageTakenFromDoTs+.,[M11_DebuffCurse],Dark+Poison
Gravity Well,"[F4,F12]","AoE, die Gegner leicht zur Mitte zieht und DamageTaken+ verpasst; skaliert über Pull-Stärke, Radius und Debuff-Wert.","[M11_DebuffCurse,M12_SpinNova]",Arcane
Exposed Wounds,[F12],Phys-Fluch: reduziert Armor und erhöht Bleed-DamageTaken; skaliert über Armor-Reduktion und BleedTaken+.,[M11_DebuffCurse],Physical
Razor Maelstrom,[F1],Dauer-Spin mit konstantem Nahkreis-Schaden; skaliert über Tick-DPS und Spin-Radius.,"[M12_SpinNova,M01_DirectHit]",Physical
Tempest Halo,[F1],Elektrischer Spin mit vielen kleinen Hits; skaliert über Hit-Frequenz und Lightning-Damage.,"[M12_SpinNova,M01_DirectHit]",Lightning
Blood Bloom,"[F4,F7]","Phys-/Bleed-Nova, die eine ringförmige Bleed-Hazard hinterlässt; skaliert über Nova-Damage, Ringbreite und DoT-DPS.","[M12_SpinNova,M08_GroundHazard,M11_DebuffCurse]",Physical+Bleed
Solar Bloom,[F4],Feuer-Nova mit hohem Schaden im Zentrum und Falloff zum Rand; skaliert über Basis-Damage und Radius/Falloff.,"[M12_SpinNova,M01_DirectHit]",Fire
Sanctuary Pulse,"[F4,F11]","Holy-Nova, die Gegner schädigt und Allies Barrier+LifeRegen gibt; skaliert über Damage, Heal/Barrier-Werte und Radius.","[M12_SpinNova,M10_AuraShout,M06_Sustain]",Holy
