SkillName,SkillFamilies,PrimaryMechanic,MechanicTags,DamageType,ArchetypeVariant,RowOrigin,AlternativeNames,Notes
Iron Cleaver,[F2],"Breiter Nahkampf-Schwung (Cone), skaliert primär mit Hit-Damage und kleinem AoE-Winkel.",[M01_DirectHit],Physical,Melee,CSV,,
Sanctified Soil,"[F7,F11]","Heilige Zone: Allies bekommen LifeRegen+ und DoT-Resist; skaliert über Regeneration, Resist-Boost und Radius.","[M08_GroundHazard,M06_Sustain,M04_DefenseLayer]",Holy,Caster,CSV,,
Toxic Funnel,"[F7,F2]","Kegel-förmige Gift-Hazard vor dem Caster; skaliert über Kegelweite, Reichweite und DoT-DPS.",[M08_GroundHazard],Poison,Caster,CSV,,
Bone Vanguard,[F10],"Tankiger Nahkampf-Skelett-Minon; skaliert über Minion-Life, Armor und Basis-DPS.","[M09_Summon,M04_DefenseLayer]",Physical,Caster,CSV,Swarm; Minion; Elemental,
Flame Idol,[F10],"Stationäres Feuer-Totem, das Firebolts schießt; skaliert über Minion-Damage, AttackSpeed und Projektil-Reichweite.","[M09_Summon,M01_DirectHit]",Fire,Caster,CSV,,
Wraith Pack,[F10],"Mehrere fragile Geister mit hohem Schaden, kurzer Dauer; skaliert über Minion-Damage und Lifetime.","[M09_Summon,M01_DirectHit]",Dark,Caster,CSV,,
Swarm Nest,"[F10,F7]","Stationäres Nest, das periodisch Gift-Insekten spawnt; skaliert über Spawn-Rate und Insekten-DoT.","[M09_Summon,M08_GroundHazard]",Poison,Ranged,CSV,,
Arc Beacon,[F10],"Turret-Minon, der Kettenblitze verschießt; skaliert über Minion-Damage, Chain-Count und Range.","[M09_Summon,M01_DirectHit]",Lightning,Caster,CSV,,
Solar Guardian,"[F10,F11]",Heiliger Schutzgeist mit Barrier-Aura und gelegentlichen Holy-Novas; skaliert über Aura-Stärke und Nova-Damage.,"[M09_Summon,M10_AuraShout,M04_DefenseLayer,M06_Sustain]",Holy,Caster,CSV,,
Crystal Shambler,"[F10,F6]","Langsamer Golem mit Hard-Slam und Frost-Explosion beim Tod; skaliert über Minion-Life, Slam-Damage und Nova-Radius.","[M09_Summon,M01_DirectHit,M12_SpinNova]",Physical+Cold,Melee,CSV,Executioner; OVerdrive Strike; Warden; Familiar,
Ward of Glass,[F11],Defensive Aura: +BarrierRegen und +Resists; skaliert über Regenerations-Wert und Resist-Bonus.,"[M10_AuraShout,M04_DefenseLayer,M06_Sustain]",Buff,Caster,CSV,Aura; Ward; Invocation,
Slipstream Chant,[F11],Speed-Aura: +MoveSpeed und +Dodge; skaliert über Buff-Stärke und Radius.,"[M10_AuraShout,M05_Dodge]",Buff,Caster,CSV,,
Iron Vow,[F11],Aura: %DamageTakenRecoupedAsLife; skaliert über Recoup-Prozent und Radius.,"[M10_AuraShout,M06_Sustain]",Buff,Melee,CSV,,
Hexed Ground,"[F7,F11]",Fluch-Hazard: Gegner darin nehmen mehr Schaden und machen weniger Schaden; skaliert über Debuff-Werte und Flächengröße.,"[M08_GroundHazard,M11_DebuffCurse]",Dark,Caster,CSV,,
Rallying Roar,[F11],Shout mit kurzem Burst von +Damage und +Armor; skaliert über Buff-Werte und Dauer.,"[M10_AuraShout,M01_DirectHit,M04_DefenseLayer]",Buff,Caster,CSV,,
Mark of Ruin,[F13],Einzelziel-Marke: Ziel nimmt more Damage von allen Quellen; skaliert über DamageTaken+ und Mark-Dauer.,[M11_DebuffCurse],Dark,Ranged,CSV,Seal; Bind,
Shivering Brand,"[F12,F7]",Flächen-Fluch mit MoveSpeed- und AttackSpeed-; skaliert über Debuff-Stärken und Flächenradius.,[M11_DebuffCurse],Cold,Caster,CSV,,
